"variabletype" "activitytype" "subjectid" "meanvalue"
"tbodyaccmeanx" "sitting" 26 0.258243530166667
"tbodyaccmeanx" "sitting" 27 0.273941302571429
"tbodyaccmeanx" "sitting" 28 0.276977629444444
"tbodyaccmeanx" "sitting" 29 0.2771799775
"tbodyaccmeanx" "sitting" 30 0.268336081379032
"tbodyaccmeanx" "standing" 1 0.278917629056604
"tbodyaccmeanx" "standing" 2 0.277911472222222
"tbodyaccmeanx" "standing" 3 0.280046513278689
"tbodyaccmeanx" "standing" 4 0.280499745892857
"tbodyaccmeanx" "standing" 5 0.282544390892857
"tbodyaccmeanx" "standing" 6 0.280346248596491
"tbodyaccmeanx" "standing" 7 0.282723539433962
"tbodyaccmeanx" "standing" 8 0.279620986111111
"tbodyaccmeanx" "standing" 9 0.282310057333333
"tbodyaccmeanx" "standing" 10 0.276650300681818
"tbodyaccmeanx" "standing" 11 0.277715562765957
"tbodyaccmeanx" "standing" 12 0.277405834918033
"tbodyaccmeanx" "standing" 13 0.277758431052632
"tbodyaccmeanx" "standing" 14 0.280545613833333
"tbodyaccmeanx" "standing" 15 0.278915803962264
"tbodyaccmeanx" "standing" 16 0.283497402948718
"tbodyaccmeanx" "standing" 17 0.277942503333333
"tbodyaccmeanx" "standing" 18 0.278458805890411
"tbodyaccmeanx" "standing" 19 0.27817226
"tbodyaccmeanx" "standing" 20 0.278076904657534
"tbodyaccmeanx" "standing" 21 0.27695224258427
"tbodyaccmeanx" "standing" 22 0.279053861587302
"tbodyaccmeanx" "standing" 23 0.277899323235294
"tbodyaccmeanx" "standing" 24 0.280348883913043
"tbodyaccmeanx" "standing" 25 0.278013701621622
"tbodyaccmeanx" "standing" 26 0.281127035405405
"tbodyaccmeanx" "standing" 27 0.279566921625
"tbodyaccmeanx" "standing" 28 0.277795069113924
"tbodyaccmeanx" "standing" 29 0.277965065846154
"tbodyaccmeanx" "standing" 30 0.277112699152542
"tbodyaccmeanx" "laying" 1 0.22159824394
"tbodyaccmeanx" "laying" 2 0.281373403958333
"tbodyaccmeanx" "laying" 3 0.275516852741935
"tbodyaccmeanx" "laying" 4 0.263559214981481
"tbodyaccmeanx" "laying" 5 0.278334325576923
"tbodyaccmeanx" "laying" 6 0.248656520140351
"tbodyaccmeanx" "laying" 7 0.250176694038462
"tbodyaccmeanx" "laying" 8 0.261254282907407
"tbodyaccmeanx" "laying" 9 0.2591955368
"tbodyaccmeanx" "laying" 10 0.280230574137931
"tbodyaccmeanx" "laying" 11 0.280592970877193
"tbodyaccmeanx" "laying" 12 0.260113433
"tbodyaccmeanx" "laying" 13 0.276716360483871
"tbodyaccmeanx" "laying" 14 0.233275439803922
"tbodyaccmeanx" "laying" 15 0.2894756525
"tbodyaccmeanx" "laying" 16 0.274227162571429
"tbodyaccmeanx" "laying" 17 0.269780085577465
"tbodyaccmeanx" "laying" 18 0.274691576923077
"tbodyaccmeanx" "laying" 19 0.272653733493976
"tbodyaccmeanx" "laying" 20 0.239507882205882
"tbodyaccmeanx" "laying" 21 0.271325472455556
"tbodyaccmeanx" "laying" 22 0.279959721194444
"tbodyaccmeanx" "laying" 23 0.274038007986111
"tbodyaccmeanx" "laying" 24 0.272850494930556
"tbodyaccmeanx" "laying" 25 0.250791828613699
"tbodyaccmeanx" "laying" 26 0.271645864540789
"tbodyaccmeanx" "laying" 27 0.274102492432432
"tbodyaccmeanx" "laying" 28 0.2759134825
"tbodyaccmeanx" "laying" 29 0.287295196811594
"tbodyaccmeanx" "laying" 30 0.281033900571429
"tbodyaccmeany" "walking" 1 -0.0173838185273684
"tbodyaccmeany" "walking" 2 -0.0185949199145763
"tbodyaccmeany" "walking" 3 -0.0171767844203448
"tbodyaccmeany" "walking" 4 -0.0148399475341667
"tbodyaccmeany" "walking" 5 -0.0172850317482679
"tbodyaccmeany" "walking" 6 -0.0168954189082456
"tbodyaccmeany" "walking" 7 -0.018653665345614
"tbodyaccmeany" "walking" 8 -0.0186628865310417
"tbodyaccmeany" "walking" 9 -0.0180891971284423
"tbodyaccmeany" "walking" 10 -0.017022351190566
"tbodyaccmeany" "walking" 11 -0.0166475833623729
"tbodyaccmeany" "walking" 12 -0.015560927606
"tbodyaccmeany" "walking" 13 -0.0185660651947368
"tbodyaccmeany" "walking" 14 -0.0217785380966102
"tbodyaccmeany" "walking" 15 -0.0170809740090741
"tbodyaccmeany" "walking" 16 -0.0204286929452941
"tbodyaccmeany" "walking" 17 -0.0184875403339344
"tbodyaccmeany" "walking" 18 -0.0178023631866071
"tbodyaccmeany" "walking" 19 -0.0191773587903846
"tbodyaccmeany" "walking" 20 -0.021199992245098
"tbodyaccmeany" "walking" 21 -0.0181610317526923
"tbodyaccmeany" "walking" 22 -0.0167213607957174
"tbodyaccmeany" "walking" 23 -0.0183618711932203
"tbodyaccmeany" "walking" 24 -0.0225446400534483
"tbodyaccmeany" "walking" 25 -0.0186477624716216
"tbodyaccmeany" "walking" 26 -0.0154259586949153
"tbodyaccmeany" "walking" 27 -0.0166478783221912
"tbodyaccmeany" "walking" 28 -0.0156759722981481
"tbodyaccmeany" "walking" 29 -0.0162915600588679
"tbodyaccmeany" "walking" 30 -0.0175880385730769
"tbodyaccmeany" "walking_upstairs" 1 -0.0239531492643396
"tbodyaccmeany" "walking_upstairs" 2 -0.0214121132045833
"tbodyaccmeany" "walking_upstairs" 3 -0.0324109410555932
"tbodyaccmeany" "walking_upstairs" 4 -0.0319804295729615
"tbodyaccmeany" "walking_upstairs" 5 -0.0325269755153191
"tbodyaccmeany" "walking_upstairs" 6 -0.0272425385070588
"tbodyaccmeany" "walking_upstairs" 7 -0.0275639005607843
"tbodyaccmeany" "walking_upstairs" 8 -0.0282415136341463
"tbodyaccmeany" "walking_upstairs" 9 -0.0195101099975714
"tbodyaccmeany" "walking_upstairs" 10 -0.0143854920340426
"tbodyaccmeany" "walking_upstairs" 11 -0.0303157822055556
"tbodyaccmeany" "walking_upstairs" 12 -0.0263574903403846
"tbodyaccmeany" "walking_upstairs" 13 -0.0277392253910909
"tbodyaccmeany" "walking_upstairs" 14 -0.0204388180024074
"tbodyaccmeany" "walking_upstairs" 15 -0.0287523860708333
"tbodyaccmeany" "walking_upstairs" 16 -0.0143654945011765
"tbodyaccmeany" "walking_upstairs" 17 -0.0228645614308333
"tbodyaccmeany" "walking_upstairs" 18 -0.0222060684378914
"tbodyaccmeany" "walking_upstairs" 19 -0.0303986615775
"tbodyaccmeany" "walking_upstairs" 20 -0.0282258047588235
"tbodyaccmeany" "walking_upstairs" 21 -0.0237218695148936
"tbodyaccmeany" "walking_upstairs" 22 -0.0268622561133333
"tbodyaccmeany" "walking_upstairs" 23 -0.0323844029237255
"tbodyaccmeany" "walking_upstairs" 24 -0.0251979434569492
"tbodyaccmeany" "walking_upstairs" 25 -0.0269863524264615
"tbodyaccmeany" "walking_upstairs" 26 -0.0281633797398182
"tbodyaccmeany" "walking_upstairs" 27 -0.0200953324078431
"tbodyaccmeany" "walking_upstairs" 28 -0.0279443943478431
"tbodyaccmeany" "walking_upstairs" 29 -0.0299465312326531
"tbodyaccmeany" "walking_upstairs" 30 -0.0253311698786154
"tbodyaccmeany" "walking_downstairs" 1 -0.00991850461020408
"tbodyaccmeany" "walking_downstairs" 2 -0.0226614158361702
"tbodyaccmeany" "walking_downstairs" 3 -0.0193554079328571
"tbodyaccmeany" "walking_downstairs" 4 -0.00980200850666667
"tbodyaccmeany" "walking_downstairs" 5 -0.00850107533191489
"tbodyaccmeany" "walking_downstairs" 6 -0.019536840063125
"tbodyaccmeany" "walking_downstairs" 7 -0.0166332372978723
"tbodyaccmeany" "walking_downstairs" 8 -0.0211058674973684
"tbodyaccmeany" "walking_downstairs" 9 -0.0203994269075476
"tbodyaccmeany" "walking_downstairs" 10 -0.0200050770710526
"tbodyaccmeany" "walking_downstairs" 11 -0.0178097721219565
"tbodyaccmeany" "walking_downstairs" 12 -0.018084266865793
"tbodyaccmeany" "walking_downstairs" 13 -0.0143723839108511
"tbodyaccmeany" "walking_downstairs" 14 -0.0200141413657778
"tbodyaccmeany" "walking_downstairs" 15 -0.00563047804309524
"tbodyaccmeany" "walking_downstairs" 16 -0.0183898583787234
"tbodyaccmeany" "walking_downstairs" 17 -0.0167359404347826
"tbodyaccmeany" "walking_downstairs" 18 -0.0168666920221818
"tbodyaccmeany" "walking_downstairs" 19 -0.0145942275069487
"tbodyaccmeany" "walking_downstairs" 20 -0.00964120773155556
"tbodyaccmeany" "walking_downstairs" 21 -0.0173195390157778
"tbodyaccmeany" "walking_downstairs" 22 -0.0197999371686389
"tbodyaccmeany" "walking_downstairs" 23 -0.0162111457238889
"tbodyaccmeany" "walking_downstairs" 24 -0.0145730348310909
"tbodyaccmeany" "walking_downstairs" 25 -0.0210170522987931
"tbodyaccmeany" "walking_downstairs" 26 -0.01262580966778
"tbodyaccmeany" "walking_downstairs" 27 -0.0135564467159091
"tbodyaccmeany" "walking_downstairs" 28 -0.0220230465913043
"tbodyaccmeany" "walking_downstairs" 29 -0.01494121505625
"tbodyaccmeany" "walking_downstairs" 30 -0.0174383900204839
"tbodyaccmeany" "sitting" 1 -0.00130828765170213
"tbodyaccmeany" "sitting" 2 -0.0156879937282609
"tbodyaccmeany" "sitting" 3 -0.00350299841730769
"tbodyaccmeany" "sitting" 4 -0.007163065158
"tbodyaccmeany" "sitting" 5 -0.00990083527045455
"tbodyaccmeany" "sitting" 6 -0.0145911615290909
"tbodyaccmeany" "sitting" 7 -0.01461097580375
"tbodyaccmeany" "sitting" 8 -0.00672550621304348
"tbodyaccmeany" "sitting" 9 -0.02701677698
"tbodyaccmeany" "sitting" 10 -0.015042681852037
"tbodyaccmeany" "sitting" 11 -0.0149195616754717
"tbodyaccmeany" "sitting" 12 -0.0157892988523529
"tbodyaccmeany" "sitting" 13 -0.00587732936326531
"tbodyaccmeany" "sitting" 14 -0.00870565463888889
"tbodyaccmeany" "sitting" 15 -0.0117188472271186
"tbodyaccmeany" "sitting" 16 -0.0102497939956522
"tbodyaccmeany" "sitting" 17 -0.014156274084375
"tbodyaccmeany" "sitting" 18 -0.0128691279736842
"tbodyaccmeany" "sitting" 19 -0.016739260030137
"tbodyaccmeany" "sitting" 20 -0.0147229305131818
"tbodyaccmeany" "sitting" 21 -0.0144009705494118
"tbodyaccmeany" "sitting" 22 -0.0123468446419355
"tbodyaccmeany" "sitting" 23 -0.0133945015676471
"tbodyaccmeany" "sitting" 24 -0.0131255097938235
"tbodyaccmeany" "sitting" 25 -0.0147696808030769
"tbodyaccmeany" "sitting" 26 -0.00713364541358974
"tbodyaccmeany" "sitting" 27 -0.0155269799285714
"tbodyaccmeany" "sitting" 28 -0.0185404441258333
"tbodyaccmeany" "sitting" 29 -0.016630680375
"tbodyaccmeany" "sitting" 30 -0.00804731295322581
"tbodyaccmeany" "standing" 1 -0.0161375901037736
"tbodyaccmeany" "standing" 2 -0.0184208270166667
"tbodyaccmeany" "standing" 3 -0.0143376555065574
"tbodyaccmeany" "standing" 4 -0.00948911098553571
"tbodyaccmeany" "standing" 5 -0.00700418554517857
"tbodyaccmeany" "standing" 6 -0.0181236327175439
"tbodyaccmeany" "standing" 7 -0.0145740341037736
"tbodyaccmeany" "standing" 8 -0.0148113067148148
"tbodyaccmeany" "standing" 9 -0.0200454954022222
"tbodyaccmeany" "standing" 10 -0.0155418603409091
"tbodyaccmeany" "standing" 11 -0.0171990886595745
"tbodyaccmeany" "standing" 12 -0.0169002543196721
"tbodyaccmeany" "standing" 13 -0.0167891993964912
"tbodyaccmeany" "standing" 14 -0.01520781344
"tbodyaccmeany" "standing" 15 -0.0183516360396226
"tbodyaccmeany" "standing" 16 -0.0165999672935897
"tbodyaccmeany" "standing" 17 -0.0174120064169231
"tbodyaccmeany" "standing" 18 -0.0166353518150685
"tbodyaccmeany" "standing" 19 -0.0154244056945205
"tbodyaccmeany" "standing" 20 -0.0180695049161644
"tbodyaccmeany" "standing" 21 -0.0167084730205618
"tbodyaccmeany" "standing" 22 -0.0158563207496825
"tbodyaccmeany" "standing" 23 -0.0177475547867647
"tbodyaccmeany" "standing" 24 -0.0144785340348986
"tbodyaccmeany" "standing" 25 -0.0163569730274324
"tbodyaccmeany" "standing" 26 -0.0166608306652703
"tbodyaccmeany" "standing" 27 -0.016593236445
"tbodyaccmeany" "standing" 28 -0.0172635124672152
"tbodyaccmeany" "standing" 29 -0.0172605869061538
"tbodyaccmeany" "standing" 30 -0.0170163887813559
"tbodyaccmeany" "laying" 1 -0.0405139534294
"tbodyaccmeany" "laying" 2 -0.0181587397583333
"tbodyaccmeany" "laying" 3 -0.0189556785048387
"tbodyaccmeany" "laying" 4 -0.0150031841055556
"tbodyaccmeany" "laying" 5 -0.0183042123269231
"tbodyaccmeany" "laying" 6 -0.0102529170561404
"tbodyaccmeany" "laying" 7 -0.0204411516884615
"tbodyaccmeany" "laying" 8 -0.0212281733881481
"tbodyaccmeany" "laying" 9 -0.020526821662
"tbodyaccmeany" "laying" 10 -0.024294484137931
"tbodyaccmeany" "laying" 11 -0.0176598052315789
"tbodyaccmeany" "laying" 12 -0.0175203917146667
"tbodyaccmeany" "laying" 13 -0.020440454366129
"tbodyaccmeany" "laying" 14 -0.0113424652490196
"tbodyaccmeany" "laying" 15 -0.0166296542054167
"tbodyaccmeany" "laying" 16 -0.0166103510562857
"tbodyaccmeany" "laying" 17 -0.0168462006729577
"tbodyaccmeany" "laying" 18 -0.0173937684615385
"tbodyaccmeany" "laying" 19 -0.0171426864421687
"tbodyaccmeany" "laying" 20 -0.0144406281132353
"tbodyaccmeany" "laying" 21 -0.0184233048415556
"tbodyaccmeany" "laying" 22 -0.0142629864502778
"tbodyaccmeany" "laying" 23 -0.0216553835833333
"tbodyaccmeany" "laying" 24 -0.0173555210111111
"tbodyaccmeany" "laying" 25 -0.0188943663671233
"tbodyaccmeany" "laying" 26 -0.0191895728026316
"tbodyaccmeany" "laying" 27 -0.0179867611216216
"tbodyaccmeany" "laying" 28 -0.0167537858225
"tbodyaccmeany" "laying" 29 -0.0171965484202899
"tbodyaccmeany" "laying" 30 -0.0194494098614286
"tbodyaccmeanz" "walking" 1 -0.111148103547368
"tbodyaccmeanz" "walking" 2 -0.105500357966102
"tbodyaccmeanz" "walking" 3 -0.112674859827586
"tbodyaccmeanz" "walking" 4 -0.11140306485
"tbodyaccmeanz" "walking" 5 -0.107741776464286
"tbodyaccmeanz" "walking" 6 -0.110303165877193
"tbodyaccmeanz" "walking" 7 -0.110912234947368
"tbodyaccmeanz" "walking" 8 -0.107252090833333
"tbodyaccmeanz" "walking" 9 -0.110820512307692
"tbodyaccmeanz" "walking" 10 -0.109057512132075
"tbodyaccmeanz" "walking" 11 -0.106096304033898
"tbodyaccmeanz" "walking" 12 -0.10316110632
"tbodyaccmeanz" "walking" 13 -0.111431456192982
"tbodyaccmeanz" "walking" 14 -0.106756369135593
"tbodyaccmeanz" "walking" 15 -0.107621819518519
"tbodyaccmeanz" "walking" 16 -0.108804049803922
"tbodyaccmeanz" "walking" 17 -0.109792122032787
"tbodyaccmeanz" "walking" 18 -0.104218315464286
"tbodyaccmeanz" "walking" 19 -0.122736673192308
"tbodyaccmeanz" "walking" 20 -0.113539477098039
"tbodyaccmeanz" "walking" 21 -0.104319332403846
"tbodyaccmeanz" "walking" 22 -0.107112510934783
"tbodyaccmeanz" "walking" 23 -0.113382994084746
"tbodyaccmeanz" "walking" 24 -0.110595952913793
"tbodyaccmeanz" "walking" 25 -0.108737636297297
"tbodyaccmeanz" "walking" 26 -0.108927011474576
"tbodyaccmeanz" "walking" 27 -0.112822289263158
"tbodyaccmeanz" "walking" 28 -0.103714705396296
"tbodyaccmeanz" "walking" 29 -0.106632427301887
"tbodyaccmeanz" "walking" 30 -0.0986247068969231
"tbodyaccmeanz" "walking_upstairs" 1 -0.0973020020943396
"tbodyaccmeanz" "walking_upstairs" 2 -0.152513899520833
"tbodyaccmeanz" "walking_upstairs" 3 -0.110064863437288
"tbodyaccmeanz" "walking_upstairs" 4 -0.114219455519231
"tbodyaccmeanz" "walking_upstairs" 5 -0.107471453914894
"tbodyaccmeanz" "walking_upstairs" 6 -0.122082438784314
"tbodyaccmeanz" "walking_upstairs" 7 -0.143769688803922
"tbodyaccmeanz" "walking_upstairs" 8 -0.11512211995122
"tbodyaccmeanz" "walking_upstairs" 9 -0.125219003959184
"tbodyaccmeanz" "walking_upstairs" 10 -0.118180420834043
"tbodyaccmeanz" "walking_upstairs" 11 -0.106797216481481
"tbodyaccmeanz" "walking_upstairs" 12 -0.107339730115385
"tbodyaccmeanz" "walking_upstairs" 13 -0.125767265890909
"tbodyaccmeanz" "walking_upstairs" 14 -0.112279688983333
"tbodyaccmeanz" "walking_upstairs" 15 -0.116952464895833
"tbodyaccmeanz" "walking_upstairs" 16 -0.124074517745098
"tbodyaccmeanz" "walking_upstairs" 17 -0.121290442104167
"tbodyaccmeanz" "walking_upstairs" 18 -0.112655891327586
"tbodyaccmeanz" "walking_upstairs" 19 -0.151054607725
"tbodyaccmeanz" "walking_upstairs" 20 -0.121023947784314
"tbodyaccmeanz" "walking_upstairs" 21 -0.125414265340426
"tbodyaccmeanz" "walking_upstairs" 22 -0.117550861738095
"tbodyaccmeanz" "walking_upstairs" 23 -0.126890616782353
"tbodyaccmeanz" "walking_upstairs" 24 -0.114248610966102
"tbodyaccmeanz" "walking_upstairs" 25 -0.126210440292308
"tbodyaccmeanz" "walking_upstairs" 26 -0.121943461236364
"tbodyaccmeanz" "walking_upstairs" 27 -0.123530438196078
"tbodyaccmeanz" "walking_upstairs" 28 -0.121514025692157
"tbodyaccmeanz" "walking_upstairs" 29 -0.118000587840816
"tbodyaccmeanz" "walking_upstairs" 30 -0.124697493775385
"tbodyaccmeanz" "walking_downstairs" 1 -0.107566190908163
"tbodyaccmeanz" "walking_downstairs" 2 -0.116812942382979
"tbodyaccmeanz" "walking_downstairs" 3 -0.116139842908163
"tbodyaccmeanz" "walking_downstairs" 4 -0.1067775246
"tbodyaccmeanz" "walking_downstairs" 5 -0.100319930659574
"tbodyaccmeanz" "walking_downstairs" 6 -0.107209356208333
"tbodyaccmeanz" "walking_downstairs" 7 -0.096938308587234
"tbodyaccmeanz" "walking_downstairs" 8 -0.107598135394737
"tbodyaccmeanz" "walking_downstairs" 9 -0.0910278793952381
"tbodyaccmeanz" "walking_downstairs" 10 -0.110848597247368
"tbodyaccmeanz" "walking_downstairs" 11 -0.111070149978261
"tbodyaccmeanz" "walking_downstairs" 12 -0.10955593226087
"tbodyaccmeanz" "walking_downstairs" 13 -0.101993941531915
"tbodyaccmeanz" "walking_downstairs" 14 -0.0928330165533333
"tbodyaccmeanz" "walking_downstairs" 15 -0.110526066428571
"tbodyaccmeanz" "walking_downstairs" 16 -0.119873705148936
"tbodyaccmeanz" "walking_downstairs" 17 -0.0892432745173913
"tbodyaccmeanz" "walking_downstairs" 18 -0.1033908092
"tbodyaccmeanz" "walking_downstairs" 19 -0.133695240660974
"tbodyaccmeanz" "walking_downstairs" 20 -0.104602925937778
"tbodyaccmeanz" "walking_downstairs" 21 -0.09816866218
"tbodyaccmeanz" "walking_downstairs" 22 -0.1074157796
"tbodyaccmeanz" "walking_downstairs" 23 -0.0988123712574074
"tbodyaccmeanz" "walking_downstairs" 24 -0.104818820272727
"tbodyaccmeanz" "walking_downstairs" 25 -0.107192376965517
"tbodyaccmeanz" "walking_downstairs" 26 -0.1064396194
"tbodyaccmeanz" "walking_downstairs" 27 -0.112837694688636
"tbodyaccmeanz" "walking_downstairs" 28 -0.10858897408913
"tbodyaccmeanz" "walking_downstairs" 29 -0.0981339984895833
"tbodyaccmeanz" "walking_downstairs" 30 -0.0999781422322581
"tbodyaccmeanz" "sitting" 1 -0.104544182255319
"tbodyaccmeanz" "sitting" 2 -0.109218272456522
"tbodyaccmeanz" "sitting" 3 -0.0983579203269231
"tbodyaccmeanz" "sitting" 4 -0.10587459588
"tbodyaccmeanz" "sitting" 5 -0.108540300265909
"tbodyaccmeanz" "sitting" 6 -0.110127728709091
"tbodyaccmeanz" "sitting" 7 -0.122464597625
"tbodyaccmeanz" "sitting" 8 -0.104461049130435
"tbodyaccmeanz" "sitting" 9 -0.07537846886
"tbodyaccmeanz" "sitting" 10 -0.104253238796296
"tbodyaccmeanz" "sitting" 11 -0.112840218339623
"tbodyaccmeanz" "sitting" 12 -0.106307228960784
"tbodyaccmeanz" "sitting" 13 -0.0972465110836735
"tbodyaccmeanz" "sitting" 14 -0.100401490425926
"tbodyaccmeanz" "sitting" 15 -0.11366125320339
"tbodyaccmeanz" "sitting" 16 -0.0891404038405797
"tbodyaccmeanz" "sitting" 17 -0.11362408509375
"tbodyaccmeanz" "sitting" 18 -0.111904775824561
"tbodyaccmeanz" "sitting" 19 -0.10870765430137
"tbodyaccmeanz" "sitting" 20 -0.108369634515152
"tbodyaccmeanz" "sitting" 21 -0.112057887741176
